movieId,description
3022,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
142452,"As the truth behind the girls' contracts with Kyubey is revealed, Madoka has to make the ultimate decision to either see those she love the most die before her eyes or to sacrifice her life as a normal girl and help out her friends in need."
146323,"An army of British, French, Spanish and Portuguese deserters, lead by Sharpe's arch-nemesis Obadiah Hakeswill, has kidnapped two English women and held them for ransom. Hakeswill demands that Sharpe deliver the ransom money himself."
199618,"A concert film by South Korean group BTS. The movie takes place during the August 25 and 26, 2018 shows of their Love Yourself Tour at Seoul Olympic Stadium."
263965,"Mary endeavors to build bridges with her sister while Edith's secret continues to pose a threat. As Henry settles into the role of husband and stepfather, finding his place at Downton proves more difficult."
72356,"Babies both human and beast are created up in the stratosphere, by the clouds themselves. One cloud specializes in ""dangerous"" babies, creating a challenge for his loyal stork that has to deliver them."
1223,"To replenish their depleted supply of cheese, inventor Wallace and his dog Gromit travel to the moon in a homemade rocket-ship."
126086,"Norm MacDonald, the iconic anchor of SNL's ""Weekend Update"" and star of the cult classic Dirty Work, is back with a vengeance."
3338,"An in-depth look at various NASA moon landing missions, starting with Apollo 8."
163809,Two brothers find themselves lost in a mysterious land and try to find their way home.
223570,"Riko, Reg, and their new friend, Nanachi, continue their journey down the Abyss and arrive at the 5th layer. But in order for them to continue to the 6th layer, they must encounter the haunting figure of Nanachi's past: Bondrewd the Novel."
58425,"In the summer of 2006, Sigur Rós returned home to play a series of free, unannounced concerts for the people of Iceland."
171287,"Stewart Lee: 90s Comedian (2006) is a documentary film that delves into the life and career of one of the most controversial and provocative comedians of the 90s, Stewart Lee. Through a collection of interviews, performances, and archival footage, the film captures Lee's unique sense of humor, his bold take on social and political issues, and his impact on the comedy scene during the 90s. From his groundbreaking stand-up routines to his unapologetic sat"
208939,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
135440,"The daily lives and routine of 37 families living in a huge 12-story building in Copacabana, Rio de Janeiro: their drama, aspirations, intimate revelations, loneliness, dreams..."
2959,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
903,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
250010,"A musical comedy special shot and performed by Bo Burnham, alone, over the course of a very unusual year."
78895,A family is deeply affected by the father's extramarital affairs and the turbulent consequences of the Tito-Stalin split.
109487,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
2762,A child psychologist starts treating a young boy with a disturbing secret.
134849,"The short-tempered Daffy Duck must improvise madly as the backgrounds, his costumes, the soundtrack, even his physical form, shifts and changes at the whim of the animator."
224711,"Musician John Lurie knows nothing about fishing, but that doesn't stop him from embarking on fishing in exotic locations with friends."
